,scenario_id,variation,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
288,H_027,Consequentialist,weighted,4.0,0.65,0.8333333333333334,0.18333333333333335
289,G_109,Consequentialist,weighted,4.0,0.3,0.7833333333333333,0.48333333333333334
290,G_104,Consequentialist,weighted,4.0,0.049999999999999996,0.15,0.1
291,G_592,Consequentialist,weighted,4.0,0.8166666666666668,0.8666666666666667,0.04999999999999993
292,G_275,Consequentialist,weighted,4.0,0.15000000000000002,0.38947368421052636,0.23947368421052634
293,G_401,Consequentialist,weighted,4.0,0.75,0.7833333333333333,0.033333333333333326
294,G_240,Consequentialist,weighted,4.0,0.5254385964912281,0.7666666666666666,0.24122807017543846
295,G_114,Consequentialist,weighted,4.0,0.4833333333333334,0.8166666666666668,0.33333333333333337
296,G_009,Consequentialist,weighted,4.0,0.85,0.8666666666666666,0.016666666666666607
297,G_458,Consequentialist,weighted,4.0,0.0,0.016666666666666666,0.016666666666666666
298,G_269,Consequentialist,weighted,4.0,0.20000000000000004,0.4000000000000001,0.20000000000000004
299,H_093,Consequentialist,weighted,4.0,0.36666666666666664,0.4166666666666667,0.050000000000000044
